decision,motivo,pd_calibrada,monto_recomendado,contraoferta,tasa_recomendada
REJECT,PD calibrada >= 20%,0.2464934787942702,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.16217090773535875,5902.94,False,0.2605027172205263
APPROVE,Riesgo y capacidad dentro del apetito,0.10257995658378173,5382.3,False,0.1917861092134278
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.1716319253415125,1300.0,True,0.31954903779746996
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.08086911993666611,0.0,True,0.1850586446310416
APPROVE,Riesgo y capacidad dentro del apetito,0.08164700741323028,5422.94,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.038717810173978205,6373.59,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.11970703531314097,14446.41,False,0.18
REVIEW,"Monto > S/ 20,000: revisión obligatoria",0.14401628565861818,15500.0,True,0.2046258463827505
APPROVE,Riesgo y capacidad dentro del apetito,0.10357955931344313,8981.21,False,0.2241917055585178
REJECT,PD calibrada >= 20%,0.3650013949605897,,True,
REVIEW,Ingreso mayormente en efectivo con ticket alto: verificar ingreso,0.10357955931344313,12237.11,False,0.20814377916888838
APPROVE,Riesgo y capacidad dentro del apetito,0.16217090773535875,4862.39,False,0.18512567930513157
REVIEW,Ingreso mayormente en efectivo con ticket alto: verificar ingreso,0.05803078157896433,10521.03,False,0.1869727072779026
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.17942944535728508,1300.0,True,0.2433988062020661
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,7260.56,False,0.18
REJECT,PD calibrada >= 20%,0.21847719128066997,,False,
REJECT,PD calibrada >= 20%,0.20108782483026755,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.1296259008660379,16538.63,False,0.18008337290751147
APPROVE,Riesgo y capacidad dentro del apetito,0.11389794469165165,7731.77,False,0.18
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.10345303619714179,7000.0,True,0.256169942448863
APPROVE,Riesgo y capacidad dentro del apetito,0.1296259008660379,1047.08,False,0.18008337290751147
REVIEW,PD calibrada entre 18% y 20%,0.18553299057473505,3389.73,False,0.2749809786921824
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.15811728566907743,8100.0,True,0.23349291437898717
APPROVE,Riesgo y capacidad dentro del apetito,0.07458002607872367,7108.18,False,0.18
REVIEW,Sin score de buró: re-consultar y verificar identidad,0.17421456415943257,1000.0,True,0.3219498588426085
APPROVE,Riesgo y capacidad dentro del apetito,0.1097394117797793,7141.1,False,0.2280091714603219
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.1716319253415125,3000.0,True,0.31954903779746996
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.14195730369844747,10800.0,True,0.2039878365060256
APPROVE,Riesgo y capacidad dentro del apetito,0.09481018675860255,11365.07,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.10357955931344313,9882.89,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,6003.9,False,0.19082744079192793
REJECT,PD calibrada >= 20%,0.21847719128066997,,True,
REJECT,PD calibrada >= 20%,0.21700237651743365,,True,
REJECT,PD calibrada >= 20%,0.21847719128066997,,True,
APPROVE,Riesgo y capacidad dentro del apetito,0.09481018675860255,2799.87,False,0.18
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.11292209408378659,15354.5,True,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.11970703531314097,5243.56,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.16217090773535875,6957.06,False,0.2605027172205263
REVIEW,"Monto > S/ 20,000: revisión obligatoria",0.16217090773535875,24208.19,False,0.18
REJECT,PD calibrada >= 20%,0.20108782483026755,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.08577970498027913,4016.75,False,0.18
REJECT,PD calibrada >= 20%,0.27797271303647847,,True,
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.14864858211448576,2400.0,True,0.25212248128908393
REJECT,PD calibrada >= 20%,0.21076733117337357,,True,
REJECT,PD calibrada >= 20%,0.28645508383274343,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,5050.47,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.09472039455474367,4164.87,False,0.21870138585205978
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.1097394117797793,5000.0,True,0.18
REVIEW,Sin score de buró: re-consultar y verificar identidad,0.17421456415943257,13000.0,True,0.20048746471065215
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.1255029305755342,4100.0,True,0.18
REJECT,PD calibrada >= 20%,0.20108782483026755,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.10257995658378173,2040.09,False,0.20767916382014173
APPROVE,Riesgo y capacidad dentro del apetito,0.09481018675860255,6107.87,False,0.1820338874026992
REJECT,PD calibrada >= 20%,0.20108782483026755,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.16217090773535875,8307.71,False,0.18
REJECT,PD calibrada >= 20%,0.27797271303647847,,True,
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.08581046069287214,4800.0,True,0.18
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.09944316806769453,6100.0,True,0.1908141230119096
REJECT,PD calibrada >= 20%,0.2285270347601604,,False,
REVIEW,Ingreso mayormente en efectivo con ticket alto: verificar ingreso,0.13749984842308408,4200.0,True,0.28781985909409896
REVIEW,PD calibrada entre 18% y 20%,0.18553299057473505,5100.0,True,0.21749048934609122
APPROVE,Riesgo y capacidad dentro del apetito,0.05803078157896433,9620.08,False,0.1869727072779026
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.1255029305755342,2200.0,True,0.18916688106575413
APPROVE,Riesgo y capacidad dentro del apetito,0.038717810173978205,10732.66,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.09481018675860255,5474.94,False,0.18
REVIEW,"Monto > S/ 20,000: revisión obligatoria",0.08581046069287214,11500.0,True,0.2131796028400626
REJECT,PD calibrada >= 20%,0.2464934787942702,,False,
REVIEW,Sin score de buró: re-consultar y verificar identidad,0.12364822372607316,3253.09,False,0.1983144629252525
APPROVE,Riesgo y capacidad dentro del apetito,0.038717810173978205,2451.16,False,0.18
REJECT,PD calibrada >= 20%,0.2649169203745012,,True,
APPROVE,Riesgo y capacidad dentro del apetito,0.08164700741323028,5506.21,False,0.18
REJECT,PD calibrada >= 20%,0.31097926944080767,,True,
REJECT,PD calibrada >= 20%,0.2346745310235113,,False,
REJECT,PD calibrada >= 20%,0.21076733117337357,,True,
APPROVE,Riesgo y capacidad dentro del apetito,0.08577970498027913,9403.53,False,0.18
REJECT,PD calibrada >= 20%,0.20108782483026755,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.06036269510469811,5898.87,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.16217090773535875,2990.28,False,0.23537703791539472
REVIEW,Sin score de buró: re-consultar y verificar identidad,0.24484703505325314,0.0,True,0.3876098037855041
APPROVE,Riesgo y capacidad dentro del apetito,0.1097394117797793,3702.53,False,0.19400458573016094
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.14864858211448576,5400.0,True,0.25212248128908393
REJECT,PD calibrada >= 20%,0.36971539330192027,,True,
REVIEW,Sin ingreso declarado: verificar capacidad de pago en campo,0.11532171671557931,8172.22,False,0.21360153392940123
APPROVE,Riesgo y capacidad dentro del apetito,0.10869101779231505,13007.68,False,0.19367972337991202
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,2778.51,False,0.18
REVIEW,PD calibrada entre 18% y 20%,0.18553299057473505,8968.24,False,0.2031178670095684
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,2379.18,False,0.19082744079192793
APPROVE,Riesgo y capacidad dentro del apetito,0.038717810173978205,9305.47,False,0.18
REVIEW,Ingreso mayormente en efectivo con ticket alto: verificar ingreso,0.08581046069287214,5700.0,True,0.2397694042600939
REVIEW,"Monto > S/ 20,000: revisión obligatoria",0.0702888664625709,27100.0,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.11389794469165165,4871.11,False,0.23058635292357288
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.13041144168753702,3000.0,True,0.1802050793654557
APPROVE,Riesgo y capacidad dentro del apetito,0.10357955931344313,14896.37,False,0.20814377916888838
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.05452509506065575,5200.0,True,0.18534326418419278
APPROVE,Riesgo y capacidad dentro del apetito,0.16217090773535875,6978.43,False,0.21025135861026317
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.14864858211448576,5200.0,True,0.22909186096681294
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.09944316806769453,2400.0,True,0.20622118451786442
APPROVE,Riesgo y capacidad dentro del apetito,0.10869101779231505,12493.54,False,0.18
REJECT,PD calibrada >= 20%,0.31898068350768116,,True,
APPROVE,Riesgo y capacidad dentro del apetito,0.09481018675860255,9447.03,False,0.18
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.14195730369844747,3941.67,True,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.08164700741323028,7163.14,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.16217090773535875,8163.99,False,0.2605027172205263
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.06564355130520311,7822.88,True,0.18
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.06735772365674504,1500.0,True,0.22261573991131017
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,3234.39,False,0.18
REJECT,PD calibrada >= 20%,0.21700237651743365,,True,
REJECT,PD calibrada >= 20%,0.20272215589365208,,True,
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.1757620037320268,2900.0,True,0.24169417933464604
REJECT,PD calibrada >= 20%,0.21076733117337357,,True,
REVIEW,PD calibrada entre 18% y 20%,0.18553299057473505,4140.63,False,0.24623573401913684
REJECT,PD calibrada >= 20%,0.28645508383274343,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.07458002607872367,8526.38,False,0.20621972816185435
APPROVE,Riesgo y capacidad dentro del apetito,0.16217090773535875,4317.36,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,16670.05,False,0.18
REJECT,PD calibrada >= 20%,0.20108782483026755,,False,
REJECT,PD calibrada >= 20%,0.28645508383274343,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.11389794469165165,9557.84,False,0.18
REJECT,PD calibrada >= 20%,0.21076733117337357,,True,
APPROVE,Riesgo y capacidad dentro del apetito,0.07458002607872367,4803.62,False,0.18310986408092716
REJECT,PD calibrada >= 20%,0.21847719128066997,,True,
REJECT,PD calibrada >= 20%,0.21700237651743365,,True,
APPROVE,Riesgo y capacidad dentro del apetito,0.07458002607872367,2713.15,False,0.18
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.06735772365674504,1800.0,True,0.18087191330377006
APPROVE,Riesgo y capacidad dentro del apetito,0.038717810173978205,4968.02,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.07458002607872367,2773.05,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.1296259008660379,6938.46,False,0.18
REJECT,PD calibrada >= 20%,0.2464934787942702,,False,
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.06735772365674504,0.0,True,0.22261573991131017
REJECT,PD calibrada >= 20%,0.20108782483026755,,False,
REVIEW,Sin score de buró: re-consultar y verificar identidad,0.12842136468819823,2205.07,False,0.2395870004094327
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.1097394117797793,12500.0,True,0.19400458573016094
REJECT,PD calibrada >= 20%,0.36971539330192027,,True,
REVIEW,Sin ingreso declarado: verificar capacidad de pago en campo,0.06116344670242508,5591.53,False,0.18
REVIEW,Ingreso mayormente en efectivo con ticket alto: verificar ingreso,0.04974307356700933,10632.24,False,0.18312058059394593
REVIEW,Sin ingreso declarado: verificar capacidad de pago en campo,0.12572477515560407,7492.93,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.038717810173978205,6530.29,False,0.18
REJECT,PD calibrada >= 20%,0.2576537394487291,,True,
APPROVE,Riesgo y capacidad dentro del apetito,0.09481018675860255,9160.64,False,0.18
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.15811728566907743,0.0,True,0.2579905525053162
REJECT,PD calibrada >= 20%,0.20108782483026755,,False,
REJECT,PD calibrada >= 20%,0.2464934787942702,,False,
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.14195730369844747,6192.58,True,0.2039878365060256
REVIEW,"Monto > S/ 20,000: revisión obligatoria",0.1296259008660379,21105.68,False,0.18
REJECT,PD calibrada >= 20%,0.2464934787942702,,False,
REJECT,PD calibrada >= 20%,0.20108782483026755,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.08164700741323028,4291.38,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.09481018675860255,9399.86,False,0.18
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.1097394117797793,14300.0,True,0.19400458573016094
REVIEW,"Monto > S/ 20,000: revisión obligatoria",0.16876728685755563,4300.0,True,0.19922151746569594
APPROVE,Riesgo y capacidad dentro del apetito,0.10357955931344313,5952.11,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.08577970498027913,6753.17,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.1097394117797793,4045.55,False,0.2280091714603219
REVIEW,Sin ingreso declarado: verificar capacidad de pago en campo,0.23853289183132115,4078.11,False,0.19695669604106603
REVIEW,Sin score de buró: re-consultar y verificar identidad,0.12135201587940078,1612.2,False,0.18820220849037272
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.14864858211448576,12513.59,True,0.18
REJECT,PD calibrada >= 20%,0.31097926944080767,,True,
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.05803078157896433,4100.0,True,0.1869727072779026
APPROVE,Riesgo y capacidad dentro del apetito,0.1296259008660379,3192.22,False,0.22025011872253442
APPROVE,Riesgo y capacidad dentro del apetito,0.1301714727336795,9095.2,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.1301714727336795,4051.99,False,0.18
REJECT,PD calibrada >= 20%,0.2464934787942702,,False,
REVIEW,"Monto > S/ 20,000: revisión obligatoria",0.17010019842363625,6800.0,True,0.3181251444546122
REJECT,PD calibrada >= 20%,0.36971539330192027,,True,
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.11843367781211596,2500.0,True,0.19669864896471434
REVIEW,"Monto > S/ 20,000: revisión obligatoria",0.08577970498027913,21368.61,False,0.18
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.11843367781211596,16825.88,True,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,5025.27,False,0.18312058059394593
REVIEW,Sin ingreso declarado: verificar capacidad de pago en campo,0.11532171671557931,9845.81,False,0.2672030678588025
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.14974768898063848,8100.0,True,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.15357106194938477,9749.94,False,0.18
REVIEW,Ingreso mayormente en efectivo con ticket alto: verificar ingreso,0.11970703531314097,10900.0,True,0.18
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.17942944535728508,3800.0,True,0.21559920413471073
REJECT,PD calibrada >= 20%,0.21076733117337357,,True,
APPROVE,Riesgo y capacidad dentro del apetito,0.16217090773535875,2506.24,False,0.31075407583078946
REJECT,PD calibrada >= 20%,0.2464934787942702,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.08164700741323028,12323.7,False,0.19794952904566943
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.17942944535728508,0.0,True,0.18
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.14913413691924535,11500.0,True,0.2524233957867536
APPROVE,Riesgo y capacidad dentro del apetito,0.07458002607872367,1496.87,False,0.18
REVIEW,Sin ingreso declarado: verificar capacidad de pago en campo,0.1317684200835215,9038.75,False,0.18
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.13041144168753702,4900.0,True,0.24082031746182292
APPROVE,Riesgo y capacidad dentro del apetito,0.07458002607872367,3856.44,False,0.20621972816185435
APPROVE,Riesgo y capacidad dentro del apetito,0.08164700741323028,1875.95,False,0.21059937206089258
APPROVE,Riesgo y capacidad dentro del apetito,0.1255029305755342,2704.98,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.1301714727336795,4909.12,False,0.22050370052661422
REJECT,PD calibrada >= 20%,0.35476993132335255,,True,
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.17942944535728508,6300.0,True,0.21559920413471073
REJECT,PD calibrada >= 20%,0.21847719128066997,,False,
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.06735772365674504,2100.0,True,0.18087191330377006
APPROVE,Riesgo y capacidad dentro del apetito,0.08164700741323028,2411.01,False,0.18529968603044628
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,2306.21,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.16217090773535875,5163.72,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.038717810173978205,2627.72,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,9853.32,False,0.18
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.1716319253415125,0.0,True,0.18
REJECT,PD calibrada >= 20%,0.31097926944080767,,True,
REJECT,PD calibrada >= 20%,0.27797271303647847,,True,
REVIEW,Ingreso mayormente en efectivo con ticket alto: verificar ingreso,0.13139651508841227,9300.0,True,0.18035770007103136
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.14195730369844747,10300.0,True,0.1929908773795192
APPROVE,Riesgo y capacidad dentro del apetito,0.11389794469165165,6706.9,False,0.18646988234633982
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,7935.28,False,0.18
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.1097394117797793,6600.0,True,0.18
REJECT,PD calibrada >= 20%,0.21847719128066997,,False,
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.05803078157896433,7300.0,True,0.18
REJECT,PD calibrada >= 20%,0.20108782483026755,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.10869101779231505,6671.01,False,0.19367972337991202
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.09944316806769453,1680.87,True,0.18
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.1716319253415125,1200.0,True,0.31954903779746996
REJECT,PD calibrada >= 20%,0.2464934787942702,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.1255029305755342,13625.3,False,0.18
REVIEW,PD calibrada entre 18% y 20%,0.1919444388002613,3609.39,False,0.27895436687248193
APPROVE,Riesgo y capacidad dentro del apetito,0.038717810173978205,7739.39,False,0.19599207633773014
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.14974768898063848,14500.0,True,0.19480136291910038
REVIEW,PD calibrada entre 18% y 20%,0.18553299057473505,9526.88,False,0.24623573401913684
REJECT,PD calibrada >= 20%,0.20108782483026755,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.11389794469165165,4939.71,False,0.18
REVIEW,Sin score de buró: re-consultar y verificar identidad,0.1177164940342813,1700.0,True,0.21471462642713396
REJECT,PD calibrada >= 20%,0.2576537394487291,,True,
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.14195730369844747,3800.0,True,0.22598175475903837
APPROVE,Riesgo y capacidad dentro del apetito,0.08164700741323028,4555.69,False,0.21059937206089258
REVIEW,Ingreso mayormente en efectivo con ticket alto: verificar ingreso,0.15811728566907743,6700.0,True,0.2579905525053162
REVIEW,"Monto > S/ 20,000: revisión obligatoria",0.08577970498027913,31781.72,False,0.1998704068748337
REJECT,PD calibrada >= 20%,0.31898068350768116,,True,
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.08581046069287214,2800.0,True,0.2397694042600939
APPROVE,Riesgo y capacidad dentro del apetito,0.08577970498027913,1916.69,False,0.21316054249977834
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,4264.13,False,0.18312058059394593
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.05803078157896433,5500.0,True,0.19596360970387017
APPROVE,Riesgo y capacidad dentro del apetito,0.06036269510469811,2762.89,False,0.18
REJECT,PD calibrada >= 20%,0.31898068350768116,,True,
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.09472039455474367,3000.0,True,0.18201301969452244
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.10345303619714179,1000.0,True,0.20808497122443148
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.11843367781211596,1000.0,True,0.23339729792942865
REJECT,PD calibrada >= 20%,0.21700237651743365,,True,
APPROVE,Riesgo y capacidad dentro del apetito,0.15357106194938477,4034.77,False,0.18
REJECT,PD calibrada >= 20%,0.31898068350768116,,True,
APPROVE,Riesgo y capacidad dentro del apetito,0.08577970498027913,9137.43,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.08164700741323028,6446.94,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,4124.44,False,0.18
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.06735772365674504,4800.0,True,0.22261573991131017
APPROVE,Riesgo y capacidad dentro del apetito,0.1296259008660379,4421.35,False,0.19012505936126722
APPROVE,Riesgo y capacidad dentro del apetito,0.14974768898063848,8788.04,False,0.18320090861273358
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.14195730369844747,7100.0,True,0.22598175475903837
REJECT,PD calibrada >= 20%,0.2464934787942702,,False,
APPROVE,Riesgo y capacidad dentro del apetito,0.10869101779231505,1012.8,False,0.210519585069868
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.14401628565861818,3600.0,True,0.29387753914825143
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,1592.17,False,0.19082744079192793
APPROVE,Riesgo y capacidad dentro del apetito,0.08164700741323028,5814.12,False,0.18
REJECT,PD calibrada >= 20%,0.28645508383274343,,False,
REJECT,PD calibrada >= 20%,0.36971539330192027,,True,
