variable,tramo,orden,creditos,defaults,buenos,woe,pct_creditos,default_rate,iv_tramo,muestra
ahorro_sobre_monto,<= 0.1255,0,120,25,95,-0.40015848344999483,0.10425716768027801,0.20833333333333334,0.023737364081935507,VAL (información)
ahorro_sobre_monto,"(0.1255, 0.5985]",1,581,79,502,-0.09608907293674879,0.5047784535186794,0.1359724612736661,-0.0015746574974012724,VAL (información)
ahorro_sobre_monto,> 0.5985,2,360,45,315,0.29318194038555523,0.31277150304083406,0.125,0.01133990000926626,VAL (información)
ahorro_sobre_monto,Faltante / no visto,-1,90,12,78,0.0,0.07819287576020852,0.13333333333333333,0.0,VAL (información)
prior_delinquencies_24m,<= 0,0,662,97,565,0.157837664718953,0.575152041702867,0.14652567975830816,-0.005015670818755865,VAL (información)
prior_delinquencies_24m,"(0, 1]",1,377,45,332,-0.15890819917560597,0.32754126846220677,0.11936339522546419,-0.008875091216897201,VAL (información)
prior_delinquencies_24m,> 1,2,112,19,93,-0.26285522739859096,0.09730668983492616,0.16964285714285715,0.0063277213597364565,VAL (información)
monthly_debt_payment,<= 602.8,0,390,45,345,0.20562745291861345,0.33883579496090355,0.11538461538461539,0.014184540089341594,VAL (información)
monthly_debt_payment,"(602.8, 948.6]",1,233,37,196,0.03615790887096847,0.20243266724587317,0.15879828326180256,-0.0011510460481290795,VAL (información)
monthly_debt_payment,"(948.6, 2,032]",2,370,49,321,-0.09946043688180316,0.3214596003475239,0.13243243243243244,-0.0019787254241307307,VAL (información)
monthly_debt_payment,"> 2,032",3,158,30,128,-0.2553785490044829,0.1372719374456994,0.189873417721519,0.014567424352523737,VAL (información)
region,Sur,0,187,22,165,0.3109026402019083,0.16246741963509992,0.11764705882352941,0.00933351611372188,VAL (información)
region,Centro / Oriente,1,283,37,246,0.11214369263783018,0.24587315377932234,0.13074204946996468,0.0020938555071847833,VAL (información)
region,Norte,2,193,28,165,-0.06493714726498882,0.1676802780191138,0.14507772020725387,0.0004705590381520932,VAL (información)
region,Lima,3,488,74,414,-0.12375416139413632,0.42397914856646396,0.15163934426229508,0.005129054458684138,VAL (información)
savings_balance,<= 881.2,0,158,27,131,-0.2531122590826569,0.1372719374456994,0.17088607594936708,0.008954765223458831,VAL (información)
savings_balance,"(881.2, 1,721]",1,194,20,174,-0.132096996828789,0.1685490877497828,0.10309278350515463,-0.006807483104032077,VAL (información)
savings_balance,"(1,721, 7,693]",2,555,82,473,0.061105039514715784,0.48218940052128584,0.14774774774774774,-0.0019271913773792311,VAL (información)
savings_balance,"> 7,693",3,154,20,134,0.2135837688130235,0.13379669852302345,0.12987012987012986,0.0023771730088104908,VAL (información)
savings_balance,Faltante / no visto,-1,90,12,78,0.0,0.07819287576020852,0.13333333333333333,0.0,VAL (información)
